geo_code,year,naics,jobs
3509039,2016,56,190.0
3509039,2016,61,145.0
3509039,2016,62,305.0
3509039,2016,71,65.0
3509039,2016,72,115.0
3509039,2016,81,90.0
3509039,2016,91,245.0
3510005,2016,11,80.0
3510005,2016,21,0.0
3510005,2016,22,0.0
3510005,2016,23,45.0
3510005,2016,31-33,60.0
3510005,2016,41,30.0
3510005,2016,44-45,70.0
3510005,2016,48-49,45.0
3510005,2016,51,10.0
3510005,2016,52,10.0
3510005,2016,53,40.0
3510005,2016,54,60.0
3510005,2016,55,0.0
3510005,2016,56,10.0
3510005,2016,61,110.0
3510005,2016,62,105.0
3510005,2016,71,35.0
3510005,2016,72,40.0
3510005,2016,81,45.0
3510005,2016,91,120.0
3510010,2016,11,295.0
3510010,2016,21,105.0
3510010,2016,22,305.0
3510010,2016,23,3445.0
3510010,2016,31-33,2300.0
3510010,2016,41,1110.0
3510010,2016,44-45,7240.0
3510010,2016,48-49,1460.0
3510010,2016,51,950.0
3510010,2016,52,1810.0
3510010,2016,53,1145.0
3510010,2016,54,3010.0
3510010,2016,55,25.0
3510010,2016,56,2970.0
3510010,2016,61,8405.0
3510010,2016,62,10175.0
3510010,2016,71,1445.0
3510010,2016,72,6065.0
3510010,2016,81,2425.0
3510010,2016,91,7460.0
3510020,2016,11,200.0
3510020,2016,21,30.0
3510020,2016,22,110.0
3510020,2016,23,1190.0
3510020,2016,31-33,635.0
3510020,2016,41,280.0
3510020,2016,44-45,1075.0
3510020,2016,48-49,330.0
3510020,2016,51,85.0
3510020,2016,52,275.0
3510020,2016,53,170.0
3510020,2016,54,500.0
3510020,2016,55,15.0
3510020,2016,56,455.0
3510020,2016,61,1045.0
3510020,2016,62,1495.0
3510020,2016,71,155.0
3510020,2016,72,455.0
3510020,2016,81,420.0
3510020,2016,91,1110.0
3510035,2016,11,75.0
3510035,2016,21,0.0
3510035,2016,22,40.0
3510035,2016,23,255.0
3510035,2016,31-33,110.0
3510035,2016,41,55.0
3510035,2016,44-45,200.0
3510035,2016,48-49,100.0
3510035,2016,51,35.0
3510035,2016,52,50.0
3510035,2016,53,40.0
3510035,2016,54,80.0
3510035,2016,55,0.0
3510035,2016,56,85.0
3510035,2016,61,150.0
3510035,2016,62,245.0
3510035,2016,71,45.0
3510035,2016,72,60.0
3510035,2016,81,80.0
3510035,2016,91,105.0
3510045,2016,11,10.0
3510045,2016,21,0.0
3510045,2016,22,20.0
3510045,2016,23,75.0
3510045,2016,31-33,50.0
3510045,2016,41,25.0
3510045,2016,44-45,110.0
3510045,2016,48-49,30.0
3510045,2016,51,10.0
3510045,2016,52,25.0
3510045,2016,53,10.0
3510045,2016,54,20.0
3510045,2016,55,0.0
3510045,2016,56,40.0
3510045,2016,61,45.0
3510045,2016,62,75.0
3510045,2016,71,25.0
3510045,2016,72,45.0
3510045,2016,81,20.0
3510045,2016,91,65.0
3511005,2016,11,175.0
3511005,2016,21,10.0
3511005,2016,22,145.0
3511005,2016,23,735.0
3511005,2016,31-33,545.0
3511005,2016,41,235.0
3511005,2016,44-45,1035.0
3511005,2016,48-49,355.0
3511005,2016,51,80.0
3511005,2016,52,215.0
3511005,2016,53,140.0
3511005,2016,54,315.0
3511005,2016,55,0.0
3511005,2016,56,385.0
3511005,2016,61,655.0
3511005,2016,62,1235.0
3511005,2016,71,175.0
3511005,2016,72,565.0
3511005,2016,81,390.0
3511005,2016,91,1075.0
3511015,2016,11,285.0
3511015,2016,21,10.0
3511015,2016,22,90.0
3511015,2016,23,640.0
3511015,2016,31-33,825.0
3511015,2016,41,160.0
3511015,2016,44-45,930.0
3511015,2016,48-49,370.0
3511015,2016,51,60.0
3511015,2016,52,170.0
3511015,2016,53,95.0
3511015,2016,54,265.0
3511015,2016,55,0.0
3511015,2016,56,325.0
3511015,2016,61,475.0
3511015,2016,62,990.0
3511015,2016,71,100.0
3511015,2016,72,665.0
3511015,2016,81,295.0
3511015,2016,91,535.0
3511030,2016,11,175.0
3511030,2016,21,20.0
3511030,2016,22,50.0
3511030,2016,23,475.0
3511030,2016,31-33,495.0
3511030,2016,41,110.0
3511030,2016,44-45,445.0
3511030,2016,48-49,160.0
3511030,2016,51,60.0
3511030,2016,52,70.0
3511030,2016,53,80.0
3511030,2016,54,175.0
3511030,2016,55,0.0
3511030,2016,56,205.0
3511030,2016,61,350.0
3511030,2016,62,645.0
3511030,2016,71,45.0
3511030,2016,72,225.0
3511030,2016,81,170.0
3511030,2016,91,365.0
3511035,2016,11,15.0
3511035,2016,21,0.0
3511035,2016,22,20.0
3511035,2016,23,190.0
3511035,2016,31-33,60.0
3511035,2016,41,0.0
3511035,2016,44-45,85.0
3511035,2016,48-49,40.0
3511035,2016,51,0.0
3511035,2016,52,10.0
3511035,2016,53,0.0
3511035,2016,54,15.0
3511035,2016,55,0.0
3511035,2016,56,40.0
3511035,2016,61,20.0
3511035,2016,62,125.0
3511035,2016,71,10.0
3511035,2016,72,30.0
3511035,2016,81,40.0
3511035,2016,91,15.0
3512001,2016,11,90.0
3512001,2016,21,15.0
3512001,2016,22,20.0
3512001,2016,23,285.0
3512001,2016,31-33,295.0
3512001,2016,41,75.0
3512001,2016,44-45,290.0
3512001,2016,48-49,130.0
3512001,2016,51,35.0
3512001,2016,52,65.0
3512001,2016,53,40.0
3512001,2016,54,115.0
3512001,2016,55,0.0
3512001,2016,56,95.0
3512001,2016,61,140.0
3512001,2016,62,335.0
3512001,2016,71,20.0
3512001,2016,72,100.0
3512001,2016,81,80.0
3512001,2016,91,180.0
3512002,2016,11,10.0
3512002,2016,21,0.0
3512002,2016,22,0.0
3512002,2016,23,60.0
3512002,2016,31-33,100.0
3512002,2016,41,25.0
3512002,2016,44-45,120.0
3512002,2016,48-49,70.0
3512002,2016,51,20.0
3512002,2016,52,10.0
3512002,2016,53,0.0
3512002,2016,54,35.0
3512002,2016,55,0.0
3512002,2016,56,60.0
3512002,2016,61,40.0
3512002,2016,62,120.0
3512002,2016,71,10.0
3512002,2016,72,50.0
3512002,2016,81,30.0
3512002,2016,91,35.0
3512004,2016,11,10.0
3512004,2016,21,0.0
3512004,2016,22,10.0
